,url
0,https://www.cricbuzz.com/cricket-scores/66169/gt-vs-csk-1st-match-indian-premier-league-2023
1,https://www.cricbuzz.com/cricket-scores/66173/pbks-vs-kkr-2nd-match-indian-premier-league-2023
2,https://www.cricbuzz.com/cricket-scores/66176/lsg-vs-dc-3rd-match-indian-premier-league-2023
3,https://www.cricbuzz.com/cricket-scores/66183/srh-vs-rr-4th-match-indian-premier-league-2023
4,https://www.cricbuzz.com/cricket-scores/66190/rcb-vs-mi-5th-match-indian-premier-league-2023
5,https://www.cricbuzz.com/cricket-scores/66197/csk-vs-lsg-6th-match-indian-premier-league-2023
6,https://www.cricbuzz.com/cricket-scores/66204/dc-vs-gt-7th-match-indian-premier-league-2023
7,https://www.cricbuzz.com/cricket-scores/66208/rr-vs-pbks-8th-match-indian-premier-league-2023
8,https://www.cricbuzz.com/cricket-scores/66211/kkr-vs-rcb-9th-match-indian-premier-league-2023
9,https://www.cricbuzz.com/cricket-scores/66215/lsg-vs-srh-10th-match-indian-premier-league-2023
10,https://www.cricbuzz.com/cricket-scores/66218/rr-vs-dc-11th-match-indian-premier-league-2023
11,https://www.cricbuzz.com/cricket-scores/66225/mi-vs-csk-12th-match-indian-premier-league-2023
12,https://www.cricbuzz.com/cricket-scores/66232/gt-vs-kkr-13th-match-indian-premier-league-2023
13,https://www.cricbuzz.com/cricket-scores/66236/srh-vs-pbks-14th-match-indian-premier-league-2023
14,https://www.cricbuzz.com/cricket-scores/66239/rcb-vs-lsg-15th-match-indian-premier-league-2023
15,https://www.cricbuzz.com/cricket-scores/66243/dc-vs-mi-16th-match-indian-premier-league-2023
16,https://www.cricbuzz.com/cricket-scores/66250/csk-vs-rr-17th-match-indian-premier-league-2023
17,https://www.cricbuzz.com/cricket-scores/66253/pbks-vs-gt-18th-match-indian-premier-league-2023
18,https://www.cricbuzz.com/cricket-scores/66257/kkr-vs-srh-19th-match-indian-premier-league-2023
19,https://www.cricbuzz.com/cricket-scores/66260/rcb-vs-dc-20th-match-indian-premier-league-2023
20,https://www.cricbuzz.com/cricket-scores/66264/lsg-vs-pbks-21st-match-indian-premier-league-2023
21,https://www.cricbuzz.com/cricket-scores/66271/mi-vs-kkr-22nd-match-indian-premier-league-2023
22,https://www.cricbuzz.com/cricket-scores/66274/gt-vs-rr-23rd-match-indian-premier-league-2023
23,https://www.cricbuzz.com/cricket-scores/66278/rcb-vs-csk-24th-match-indian-premier-league-2023
24,https://www.cricbuzz.com/cricket-scores/66285/srh-vs-mi-25th-match-indian-premier-league-2023
25,https://www.cricbuzz.com/cricket-scores/66292/rr-vs-lsg-26th-match-indian-premier-league-2023
26,https://www.cricbuzz.com/cricket-scores/66313/pbks-vs-rcb-27th-match-indian-premier-league-2023
27,https://www.cricbuzz.com/cricket-scores/66330/dc-vs-kkr-28th-match-indian-premier-league-2023
28,https://www.cricbuzz.com/cricket-scores/66351/csk-vs-srh-29th-match-indian-premier-league-2023
29,https://www.cricbuzz.com/cricket-scores/66369/lsg-vs-gt-30th-match-indian-premier-league-2023
30,https://www.cricbuzz.com/cricket-scores/66404/mi-vs-pbks-31st-match-indian-premier-league-2023
31,https://www.cricbuzz.com/cricket-scores/66421/rcb-vs-rr-32nd-match-indian-premier-league-2023
32,https://www.cricbuzz.com/cricket-scores/66435/kkr-vs-csk-33rd-match-indian-premier-league-2023
33,https://www.cricbuzz.com/cricket-scores/66449/srh-vs-dc-34th-match-indian-premier-league-2023
34,https://www.cricbuzz.com/cricket-scores/66470/gt-vs-mi-35th-match-indian-premier-league-2023
35,https://www.cricbuzz.com/cricket-scores/66484/rcb-vs-kkr-36th-match-indian-premier-league-2023
36,https://www.cricbuzz.com/cricket-scores/66502/rr-vs-csk-37th-match-indian-premier-league-2023
37,https://www.cricbuzz.com/cricket-scores/66512/pbks-vs-lsg-38th-match-indian-premier-league-2023
38,https://www.cricbuzz.com/cricket-scores/66519/kkr-vs-gt-39th-match-indian-premier-league-2023
39,https://www.cricbuzz.com/cricket-scores/66526/dc-vs-srh-40th-match-indian-premier-league-2023
40,https://www.cricbuzz.com/cricket-scores/66288/csk-vs-pbks-41st-match-indian-premier-league-2023
41,https://www.cricbuzz.com/cricket-scores/66299/mi-vs-rr-42nd-match-indian-premier-league-2023
42,https://www.cricbuzz.com/cricket-scores/66306/lsg-vs-rcb-43rd-match-indian-premier-league-2023
43,https://www.cricbuzz.com/cricket-scores/66320/gt-vs-dc-44th-match-indian-premier-league-2023
44,https://www.cricbuzz.com/cricket-scores/66337/lsg-vs-csk-45th-match-indian-premier-league-2023
45,https://www.cricbuzz.com/cricket-scores/66327/pbks-vs-mi-46th-match-indian-premier-league-2023
46,https://www.cricbuzz.com/cricket-scores/66344/srh-vs-kkr-47th-match-indian-premier-league-2023
47,https://www.cricbuzz.com/cricket-scores/66348/rr-vs-gt-48th-match-indian-premier-league-2023
48,https://www.cricbuzz.com/cricket-scores/66355/csk-vs-mi-49th-match-indian-premier-league-2023
49,https://www.cricbuzz.com/cricket-scores/66358/dc-vs-rcb-50th-match-indian-premier-league-2023
50,https://www.cricbuzz.com/cricket-scores/66365/gt-vs-lsg-51st-match-indian-premier-league-2023
51,https://www.cricbuzz.com/cricket-scores/66376/rr-vs-srh-52nd-match-indian-premier-league-2023
52,https://www.cricbuzz.com/cricket-scores/66379/kkr-vs-pbks-53rd-match-indian-premier-league-2023
53,https://www.cricbuzz.com/cricket-scores/66386/mi-vs-rcb-54th-match-indian-premier-league-2023
54,https://www.cricbuzz.com/cricket-scores/66393/csk-vs-dc-55th-match-indian-premier-league-2023
55,https://www.cricbuzz.com/cricket-scores/66397/kkr-vs-rr-56th-match-indian-premier-league-2023
56,https://www.cricbuzz.com/cricket-scores/66411/mi-vs-gt-57th-match-indian-premier-league-2023
57,https://www.cricbuzz.com/cricket-scores/66414/srh-vs-lsg-58th-match-indian-premier-league-2023
58,https://www.cricbuzz.com/cricket-scores/66428/dc-vs-pbks-59th-match-indian-premier-league-2023
59,https://www.cricbuzz.com/cricket-scores/66432/rr-vs-rcb-60th-match-indian-premier-league-2023
60,https://www.cricbuzz.com/cricket-scores/66442/csk-vs-kkr-61st-match-indian-premier-league-2023
61,https://www.cricbuzz.com/cricket-scores/66446/gt-vs-srh-62nd-match-indian-premier-league-2023
62,https://www.cricbuzz.com/cricket-scores/66453/lsg-vs-mi-63rd-match-indian-premier-league-2023
63,https://www.cricbuzz.com/cricket-scores/66460/pbks-vs-dc-64th-match-indian-premier-league-2023
64,https://www.cricbuzz.com/cricket-scores/66467/srh-vs-rcb-65th-match-indian-premier-league-2023
65,https://www.cricbuzz.com/cricket-scores/66477/pbks-vs-rr-66th-match-indian-premier-league-2023
66,https://www.cricbuzz.com/cricket-scores/66481/dc-vs-csk-67th-match-indian-premier-league-2023
67,https://www.cricbuzz.com/cricket-scores/66488/kkr-vs-lsg-68th-match-indian-premier-league-2023
68,https://www.cricbuzz.com/cricket-scores/66495/mi-vs-srh-69th-match-indian-premier-league-2023
69,https://www.cricbuzz.com/cricket-scores/66505/rcb-vs-gt-70th-match-indian-premier-league-2023
70,https://www.cricbuzz.com/cricket-scores/69557/gt-vs-csk-qualifier-1-indian-premier-league-2023
71,https://www.cricbuzz.com/cricket-scores/69561/lsg-vs-mi-eliminator-indian-premier-league-2023
72,https://www.cricbuzz.com/cricket-scores/69568/gt-vs-mi-qualifier-2-indian-premier-league-2023
73,https://www.cricbuzz.com/cricket-scores/69575/csk-vs-gt-final-indian-premier-league-2023
74,https://www.cricbuzz.com/cricket-scores/72622/csk-vs-gt-final-reserve-day-indian-premier-league-2023
